UACE20,GEOID20,GEOIDFQ20,NAME20,NAMELSAD20,urban_mean,STATEFP,GEOID,STUSPS,NAME,rural_mean,urban_inc
29953,29953,400C200US29953,"Florence, AL","Florence, AL Urban Area",7.286355038,1,1,AL,Alabama,7.071756628,0.215
28333,28333,400C200US28333,"Evansville, IN","Evansville, IN Urban Area",7.785853529,18,18,IN,Indiana,7.004757482,0.781
84630,84630,400C200US84630,"Staunton--Waynesboro, VA","Staunton--Waynesboro, VA Urban Area",6.52537913,51,51,VA,Virginia,5.831688009,0.694
18451,18451,400C200US18451,"Coeur d'Alene, ID","Coeur d'Alene, ID Urban Area",6.859690445,16,16,ID,Idaho,5.096902855,1.763
87868,87868,400C200US87868,"Toledo, OH--MI","Toledo, OH--MI Urban Area",8.13520978,39,39,OH,Ohio,6.486223112,1.649
22366,22366,400C200US22366,"Davenport, IA--IL","Davenport, IA--IL Urban Area",7.015537594,17,17,IL,Illinois,6.723665264,0.292
53794,53794,400C200US53794,"Mandeville--Covington, LA","Mandeville--Covington, LA Urban Area",8.474258488,22,22,LA,Louisiana,7.563901787,0.91
92485,92485,400C200US92485,"Waterbury, CT","Waterbury, CT Urban Area",6.685807659,9,9,CT,Connecticut,5.081872262,1.604
22096,22096,400C200US22096,"Danbury, CT--NY","Danbury, CT--NY Urban Area",6.804881153,9,9,CT,Connecticut,5.081872262,1.723
87300,87300,400C200US87300,"The Woodlands--Conroe, TX","The Woodlands--Conroe, TX Urban Area",8.282450033,48,48,TX,Texas,6.463495491,1.819
46018,46018,400C200US46018,"Lafayette, IN","Lafayette, IN Urban Area",7.989208675,18,18,IN,Indiana,7.004757482,0.984
17317,17317,400C200US17317,"Clarksville, TN--KY","Clarksville, TN--KY Urban Area",7.634491777,47,47,TN,Tennessee,6.198586557,1.436
19504,19504,400C200US19504,"Concord--Walnut Creek, CA","Concord--Walnut Creek, CA Urban Area",6.733333632,6,6,CA,California,5.820606312,0.913
11728,11728,400C200US11728,"Burlington, NC","Burlington, NC Urban Area",7.259486652,37,37,NC,North Carolina,5.974952781,1.285
78904,78904,400C200US78904,"San Francisco--Oakland, CA","San Francisco--Oakland, CA Urban Area",7.458283718,6,6,CA,California,5.820606312,1.638
40429,40429,400C200US40429,"Houston, TX","Houston, TX Urban Area",8.645733926,48,48,TX,Texas,6.463495491,2.182
15211,15211,400C200US15211,"Champaign, IL","Champaign, IL Urban Area",7.457442942,17,17,IL,Illinois,6.723665264,0.734
17722,17722,400C200US17722,"Cleveland, TN","Cleveland, TN Urban Area",7.41975819,47,47,TN,Tennessee,6.198586557,1.221
21043,21043,400C200US21043,"Crestview, FL","Crestview, FL Urban Area",7.706026613,12,12,FL,Florida,6.210653346,1.495
56926,56926,400C200US56926,"Middletown, OH","Middletown, OH Urban Area",8.480263211,39,39,OH,Ohio,6.486223112,1.994
49582,49582,400C200US49582,"Lexington-Fayette, KY","Lexington-Fayette, KY Urban Area",7.086104246,21,21,KY,Kentucky,6.378271804,0.708
75664,75664,400C200US75664,"Rochester, NY","Rochester, NY Urban Area",6.024008971,36,36,NY,New York,5.018485272,1.006
14185,14185,400C200US14185,"Cartersville, GA","Cartersville, GA Urban Area",8.044419423,13,13,GA,Georgia,6.739591666,1.305
9379,9379,400C200US09379,"Bowling Green, KY","Bowling Green, KY Urban Area",7.289887767,21,21,KY,Kentucky,6.378271804,0.912
46828,46828,400C200US46828,"Lakeland, FL","Lakeland, FL Urban Area",7.372122402,12,12,FL,Florida,6.210653346,1.161
87285,87285,400C200US87285,"The Villages--Lady Lake, FL","The Villages--Lady Lake, FL Urban Area",7.110529637,12,12,FL,Florida,6.210653346,0.9
61273,61273,400C200US61273,"Nashville-Davidson, TN","Nashville-Davidson, TN Urban Area",8.117004744,47,47,TN,Tennessee,6.198586557,1.918
41590,41590,400C200US41590,"Iowa City, IA","Iowa City, IA Urban Area",6.79904653,19,19,IA,Iowa,6.071900243,0.727
45640,45640,400C200US45640,"Knoxville, TN","Knoxville, TN Urban Area",7.290380559,47,47,TN,Tennessee,6.198586557,1.092
49933,49933,400C200US49933,"Lincoln, NE","Lincoln, NE Urban Area",6.241586927,31,31,NE,Nebraska,5.077656298,1.164
1279,1279,400C200US01279,"Alexandria, LA","Alexandria, LA Urban Area",8.035616434,22,22,LA,Louisiana,7.563901787,0.472
47854,47854,400C200US47854,"Laredo, TX","Laredo, TX Urban Area",9.143272485,48,48,TX,Texas,6.463495491,2.68
50533,50533,400C200US50533,"Livermore--Pleasanton--Dublin, CA","Livermore--Pleasanton--Dublin, CA Urban Area",6.853269514,6,6,CA,California,5.820606312,1.033
78774,78774,400C200US78774,"Sandusky--Port Clinton, OH","Sandusky--Port Clinton, OH Urban Area",7.458967657,39,39,OH,Ohio,6.486223112,0.973
81739,81739,400C200US81739,"Shreveport, LA","Shreveport, LA Urban Area",8.334093979,22,22,LA,Louisiana,7.563901787,0.77
75988,75988,400C200US75988,"Rocky Mount, NC","Rocky Mount, NC Urban Area",7.098763578,37,37,NC,North Carolina,5.974952781,1.124
8601,8601,400C200US08601,"Bluffton East--Hilton Head Island, SC","Bluffton East--Hilton Head Island, SC Urban Area",7.563259552,45,45,SC,South Carolina,6.590711332,0.973
,,,,,,,,,,,
1765,1765,400C200US01765,"Alton, IL","Alton, IL Urban Area",8.268518862,17,17,IL,Illinois,6.723665264,1.545
2683,2683,400C200US02683,"Antioch, CA","Antioch, CA Urban Area",7.578157119,6,6,CA,California,5.820606312,1.758
90028,90028,400C200US90028,"Vallejo, CA","Vallejo, CA Urban Area",7.00434333,6,6,CA,California,5.820606312,1.184
22717,22717,400C200US22717,"Decatur, IL","Decatur, IL Urban Area",7.525191429,17,17,IL,Illinois,6.723665264,0.802
31843,31843,400C200US31843,"Fresno, CA","Fresno, CA Urban Area",12.5910699,6,6,CA,California,5.820606312,6.77
28117,28117,400C200US28117,"Eugene, OR","Eugene, OR Urban Area",8.079503873,41,41,OR,Oregon,5.347523912,2.732
59194,59194,400C200US59194,"Morehead City--Emerald Isle--Atlantic Beach, NC","Morehead City--Emerald Isle--Atlantic Beach, NC Urban Area",6.412173678,37,37,NC,North Carolina,5.974952781,0.437
16264,16264,400C200US16264,"Chicago, IL--IN","Chicago, IL--IN Urban Area",8.590722464,17,17,IL,Illinois,6.723665264,1.867
38809,38809,400C200US38809,"High Point, NC","High Point, NC Urban Area",7.258623922,37,37,NC,North Carolina,5.974952781,1.284
78364,78364,400C200US78364,"Salisbury, MD--DE","Salisbury, MD--DE Urban Area",6.297556556,24,24,MD,Maryland,5.719359852,0.578
65242,65242,400C200US65242,"Olympia--Lacey, WA","Olympia--Lacey, WA Urban Area",5.382407378,53,53,WA,Washington,5.01396412,0.368
34813,34813,400C200US34813,"Green Bay, WI","Green Bay, WI Urban Area",6.526846752,55,55,WI,Wisconsin,5.252788515,1.274
32113,32113,400C200US32113,"Gadsden, AL","Gadsden, AL Urban Area",7.643537292,1,1,AL,Alabama,7.071756628,0.572
29089,29089,400C200US29089,"Fargo, ND--MN","Fargo, ND--MN Urban Area",5.486045522,38,38,ND,North Dakota,4.887539591,0.599
88732,88732,400C200US88732,"Tucson, AZ","Tucson, AZ Urban Area",6.674860595,4,4,AZ,Arizona,5.07234524,1.603
98020,98020,400C200US98020,"Yuma, AZ--CA","Yuma, AZ--CA Urban Area",8.892978048,4,4,AZ,Arizona,5.07234524,3.821
23743,23743,400C200US23743,"Des Moines, IA","Des Moines, IA Urban Area",6.637595387,19,19,IA,Iowa,6.071900243,0.566
96697,96697,400C200US96697,"Winter Haven, FL","Winter Haven, FL Urban Area",7.145695174,12,12,FL,Florida,6.210653346,0.935
11026,11026,400C200US11026,"Brunswick--St. Simons, GA","Brunswick--St. Simons, GA Urban Area",7.61112744,13,13,GA,Georgia,6.739591666,0.872
6652,6652,400C200US06652,"Bellingham, WA","Bellingham, WA Urban Area",6.421179789,53,53,WA,Washington,5.01396412,1.407
97507,97507,400C200US97507,"Yakima, WA","Yakima, WA Urban Area",6.757860999,53,53,WA,Washington,5.01396412,1.744
90541,90541,400C200US90541,"Victorville--Hesperia--Apple Valley, CA","Victorville--Hesperia--Apple Valley, CA Urban Area",8.146175635,6,6,CA,California,5.820606312,2.326
77446,77446,400C200US77446,"St. George, UT","St. George, UT Urban Area",6.127213451,49,49,UT,Utah,4.422666341,1.705
,,,,,,,,,,,
78553,78553,400C200US78553,"San Angelo, TX","San Angelo, TX Urban Area",7.125938388,48,48,TX,Texas,6.463495491,0.662
32194,32194,400C200US32194,"Gainesville, GA","Gainesville, GA Urban Area",7.86494422,13,13,GA,Georgia,6.739591666,1.125
11755,11755,400C200US11755,"Burlington, VT","Burlington, VT Urban Area",5.575357667,50,50,VT,Vermont,4.626252538,0.949
49852,49852,400C200US49852,"Lima, OH","Lima, OH Urban Area",7.697046458,39,39,OH,Ohio,6.486223112,1.211
1171,1171,400C200US01171,"Albuquerque, NM","Albuquerque, NM Urban Area",5.524117036,35,35,NM,New Mexico,4.993823431,0.53
72613,72613,400C200US72613,"Pueblo, CO","Pueblo, CO Urban Area",5.137390655,8,8,CO,Colorado,4.005248733,1.132
280,280,400C200US00280,"Abilene, TX","Abilene, TX Urban Area",6.790466099,48,48,TX,Texas,6.463495491,0.327
30171,30171,400C200US30171,"Foley--Gulf Shores, AL","Foley--Gulf Shores, AL Urban Area",8.106744141,1,1,AL,Alabama,7.071756628,1.035
51499,51499,400C200US51499,"Los Lunas, NM","Los Lunas, NM Urban Area",5.097512911,35,35,NM,New Mexico,4.993823431,0.104
,,,,,,,,,,,
10972,10972,400C200US10972,"Brownsville, TX","Brownsville, TX Urban Area",7.901169663,48,48,TX,Texas,6.463495491,1.438
36892,36892,400C200US36892,"Harlingen, TX","Harlingen, TX Urban Area",8.2758222,48,48,TX,Texas,6.463495491,1.812
65080,65080,400C200US65080,"Oklahoma City, OK","Oklahoma City, OK Urban Area",7.454947894,40,40,OK,Oklahoma,6.383701379,1.071
89785,89785,400C200US89785,"Utica, NY","Utica, NY Urban Area",5.56463312,36,36,NY,New York,5.018485272,0.546
29494,29494,400C200US29494,"Fayetteville--Springdale--Rogers, AR--MO","Fayetteville--Springdale--Rogers, AR--MO Urban Area",6.969611338,5,5,AR,Arkansas,6.941410046,0.028
37243,37243,400C200US37243,"Hartford, CT","Hartford, CT Urban Area",6.965204893,9,9,CT,Connecticut,5.081872262,1.883
51256,51256,400C200US51256,"Longview, TX","Longview, TX Urban Area",7.650815195,48,48,TX,Texas,6.463495491,1.187
63433,63433,400C200US63433,"Norman, OK","Norman, OK Urban Area",7.213958785,40,40,OK,Oklahoma,6.383701379,0.83
25849,25849,400C200US25849,"East Stroudsburg--Stroudsburg, PA","East Stroudsburg--Stroudsburg, PA Urban Area",6.868969517,42,42,PA,Pennsylvania,5.941080114,0.928
33598,33598,400C200US33598,"Glens Falls, NY","Glens Falls, NY Urban Area",6.297960158,36,36,NY,New York,5.018485272,1.279
79633,79633,400C200US79633,"Saratoga Springs, NY","Saratoga Springs, NY Urban Area",6.941648987,36,36,NY,New York,5.018485272,1.923
26794,26794,400C200US26794,"Elkhart, IN--MI","Elkhart, IN--MI Urban Area",7.685737566,18,18,IN,Indiana,7.004757482,0.681
62407,62407,400C200US62407,"New Haven, CT","New Haven, CT Urban Area",6.789698817,9,9,CT,Connecticut,5.081872262,1.708
8785,8785,400C200US08785,"Boise City, ID","Boise City, ID Urban Area",7.798543451,16,16,ID,Idaho,5.096902855,2.702
3763,3763,400C200US03763,"Athens-Clarke County, GA","Athens-Clarke County, GA Urban Area",7.620732658,13,13,GA,Georgia,6.739591666,0.881
17668,17668,400C200US17668,"Cleveland, OH","Cleveland, OH Urban Area",7.95399291,39,39,OH,Ohio,6.486223112,1.468
20287,20287,400C200US20287,"Corpus Christi, TX","Corpus Christi, TX Urban Area",7.867661897,48,48,TX,Texas,6.463495491,1.404
51877,51877,400C200US51877,"Lubbock, TX","Lubbock, TX Urban Area",6.168862184,48,48,TX,Texas,6.463495491,-0.295
19828,19828,400C200US19828,"Cookeville, TN","Cookeville, TN Urban Area",6.678463467,47,47,TN,Tennessee,6.198586557,0.48
66943,66943,400C200US66943,"Pahrump, NV","Pahrump, NV Urban Area",6.928410914,32,32,NV,Nevada,4.731621561,2.197
89326,89326,400C200US89326,"Tyler, TX","Tyler, TX Urban Area",7.601168309,48,48,TX,Texas,6.463495491,1.138
80416,80416,400C200US80416,"Sebring--Avon Park, FL","Sebring--Avon Park, FL Urban Area",6.538010359,12,12,FL,Florida,6.210653346,0.327
10162,10162,400C200US10162,"Bridgeport--Stamford, CT--NY","Bridgeport--Stamford, CT--NY Urban Area",6.987860047,9,9,CT,Connecticut,5.081872262,1.906
60976,60976,400C200US60976,"Nampa, ID","Nampa, ID Urban Area",7.381581012,16,16,ID,Idaho,5.096902855,2.285
88948,88948,400C200US88948,"Tulsa, OK","Tulsa, OK Urban Area",7.964556628,40,40,OK,Oklahoma,6.383701379,1.581
30925,30925,400C200US30925,"Fort Smith, AR--OK","Fort Smith, AR--OK Urban Area",7.671444766,5,5,AR,Arkansas,6.941410046,0.73
24580,24580,400C200US24580,"Dover, DE","Dover, DE Urban Area",6.654686045,10,10,DE,Delaware,5.443733506,1.211
61840,61840,400C200US61840,"New Bern, NC","New Bern, NC Urban Area",6.995799475,37,37,NC,North Carolina,5.974952781,1.021
57925,57925,400C200US57925,"Mobile, AL","Mobile, AL Urban Area",8.415350275,1,1,AL,Alabama,7.071756628,1.344
26038,26038,400C200US26038,"Eau Claire, WI","Eau Claire, WI Urban Area",6.039039198,55,55,WI,Wisconsin,5.252788515,0.786
74179,74179,400C200US74179,"Reno, NV--CA","Reno, NV--CA Urban Area",6.592042546,32,32,NV,Nevada,4.731621561,1.86
18748,18748,400C200US18748,"College Station--Bryan, TX","College Station--Bryan, TX Urban Area",7.69439579,48,48,TX,Texas,6.463495491,1.231
52201,52201,400C200US52201,"Lynchburg, VA","Lynchburg, VA Urban Area",6.82934667,51,51,VA,Virginia,5.831688009,0.998
48799,48799,400C200US48799,"Leesburg--Eustis--Tavares, FL","Leesburg--Eustis--Tavares, FL Urban Area",7.360880754,12,12,FL,Florida,6.210653346,1.15
79336,79336,400C200US79336,"Santa Cruz, CA","Santa Cruz, CA Urban Area",6.264841976,6,6,CA,California,5.820606312,0.444
64135,64135,400C200US64135,"Norwich--New London, CT","Norwich--New London, CT Urban Area",6.249071225,9,9,CT,Connecticut,5.081872262,1.167
40996,40996,400C200US40996,"Idaho Falls, ID","Idaho Falls, ID Urban Area",5.74230702,16,16,ID,Idaho,5.096902855,0.645
52822,52822,400C200US52822,"Macon-Bibb County, GA","Macon-Bibb County, GA Urban Area",8.181579077,13,13,GA,Georgia,6.739591666,1.442
18937,18937,400C200US18937,"Columbia, MO","Columbia, MO Urban Area",7.23278848,29,29,MO,Missouri,6.404036629,0.829
67672,67672,400C200US67672,"Parkersburg, WV--OH","Parkersburg, WV--OH Urban Area",7.050050683,54,54,WV,West Virginia,5.530576165,1.519
15481,15481,400C200US15481,"Charleston, WV","Charleston, WV Urban Area",6.781047166,54,54,WV,West Virginia,5.530576165,1.25
8515,8515,400C200US08515,"Bluefield, WV--VA","Bluefield, WV--VA Urban Area",5.241762497,54,54,WV,West Virginia,5.530576165,-0.289
96130,96130,400C200US96130,"Winder, GA","Winder, GA Urban Area",7.620760167,13,13,GA,Georgia,6.739591666,0.881
766,766,400C200US00766,"Akron, OH","Akron, OH Urban Area",8.197708667,39,39,OH,Ohio,6.486223112,1.711
24472,24472,400C200US24472,"Dothan, AL","Dothan, AL Urban Area",7.531297737,1,1,AL,Alabama,7.071756628,0.46
91783,91783,400C200US91783,"Warner Robins, GA","Warner Robins, GA Urban Area",7.933448075,13,13,GA,Georgia,6.739591666,1.194
13510,13510,400C200US13510,"Cape Coral, FL","Cape Coral, FL Urban Area",7.313988524,12,12,FL,Florida,6.210653346,1.103
8974,8974,400C200US08974,"Bonita Springs--Estero, FL","Bonita Springs--Estero, FL Urban Area",7.050699569,12,12,FL,Florida,6.210653346,0.84
87139,87139,400C200US87139,"Terre Haute, IN","Terre Haute, IN Urban Area",7.89782808,18,18,IN,Indiana,7.004757482,0.893
75637,75637,400C200US75637,"Rochester, MN","Rochester, MN Urban Area",6.237093655,27,27,MN,Minnesota,4.883898514,1.353
77068,77068,400C200US77068,"Sacramento, CA","Sacramento, CA Urban Area",8.678616471,6,6,CA,California,5.820606312,2.858
78661,78661,400C200US78661,"San Diego, CA","San Diego, CA Urban Area",9.164643539,6,6,CA,California,5.820606312,3.344
80389,80389,400C200US80389,"Seattle--Tacoma, WA","Seattle--Tacoma, WA Urban Area",6.288171988,53,53,WA,Washington,5.01396412,1.274
6139,6139,400C200US06139,"Beckley, WV","Beckley, WV Urban Area",5.403108934,54,54,WV,West Virginia,5.530576165,-0.127
9946,9946,400C200US09946,"Bremerton, WA","Bremerton, WA Urban Area",6.060983474,53,53,WA,Washington,5.01396412,1.047
55333,55333,400C200US55333,"Marysville, WA","Marysville, WA Urban Area",6.720893958,53,53,WA,Washington,5.01396412,1.707
30628,30628,400C200US30628,"Fort Collins, CO","Fort Collins, CO Urban Area",5.707208357,8,8,CO,Colorado,4.005248733,1.702
8407,8407,400C200US08407,"Bloomington--Normal, IL","Bloomington--Normal, IL Urban Area",7.539361282,17,17,IL,Illinois,6.723665264,0.816
56251,56251,400C200US56251,"Merced, CA","Merced, CA Urban Area",11.40244605,6,6,CA,California,5.820606312,5.582
4681,4681,400C200US04681,"Bakersfield, CA","Bakersfield, CA Urban Area",14.2422319,6,6,CA,California,5.820606312,8.422
56602,56602,400C200US56602,"Miami--Fort Lauderdale, FL","Miami--Fort Lauderdale, FL Urban Area",7.174811851,12,12,FL,Florida,6.210653346,0.964
71479,71479,400C200US71479,"Port St. Lucie, FL","Port St. Lucie, FL Urban Area",6.624416852,12,12,FL,Florida,6.210653346,0.414
34273,34273,400C200US34273,"Grand Junction, CO","Grand Junction, CO Urban Area",5.315632644,8,8,CO,Colorado,4.005248733,1.31
41347,41347,400C200US41347,"Indio--Palm Desert--Palm Springs, CA","Indio--Palm Desert--Palm Springs, CA Urban Area",10.65146109,6,6,CA,California,5.820606312,4.831
51445,51445,400C200US51445,"Los Angeles--Long Beach--Anaheim, CA","Los Angeles--Long Beach--Anaheim, CA Urban Area",11.04150921,6,6,CA,California,5.820606312,5.221
78229,78229,400C200US78229,"Salem, OR","Salem, OR Urban Area",6.148216083,41,41,OR,Oregon,5.347523912,0.801
75340,75340,400C200US75340,"Riverside--San Bernardino, CA","Riverside--San Bernardino, CA Urban Area",10.70658719,6,6,CA,California,5.820606312,4.886
79282,79282,400C200US79282,"Santa Barbara, CA","Santa Barbara, CA Urban Area",7.269155938,6,6,CA,California,5.820606312,1.449
4033,4033,400C200US04033,"Auburn, AL","Auburn, AL Urban Area",7.793766557,1,1,AL,Alabama,7.071756628,0.722
91027,91027,400C200US91027,"Waco, TX","Waco, TX Urban Area",7.600946616,48,48,TX,Texas,6.463495491,1.137
7705,7705,400C200US07705,"Billings, MT","Billings, MT Urban Area",5.347450475,30,30,MT,Montana,4.571901511,0.776
75745,75745,400C200US75745,"Rock Hill, SC","Rock Hill, SC Urban Area",7.769179905,45,45,SC,South Carolina,6.590711332,1.178
53200,53200,400C200US53200,"Madison, WI","Madison, WI Urban Area",6.675032265,55,55,WI,Wisconsin,5.252788515,1.422
52390,52390,400C200US52390,"McAllen, TX","McAllen, TX Urban Area",9.362005151,48,48,TX,Texas,6.463495491,2.899
87490,87490,400C200US87490,"Thousand Oaks, CA","Thousand Oaks, CA Urban Area",8.134966744,6,6,CA,California,5.820606312,2.314
57709,57709,400C200US57709,"Mission Viejo--Lake Forest--Laguna Niguel, CA","Mission Viejo--Lake Forest--Laguna Niguel, CA Urban Area",9.426971275,6,6,CA,California,5.820606312,3.606
58600,58600,400C200US58600,"Montgomery, AL","Montgomery, AL Urban Area",8.299257119,1,1,AL,Alabama,7.071756628,1.228
45451,45451,400C200US45451,"Kissimmee--St. Cloud, FL","Kissimmee--St. Cloud, FL Urban Area",7.466004912,12,12,FL,Florida,6.210653346,1.255
93025,93025,400C200US93025,"Wausau, WI","Wausau, WI Urban Area",5.448530513,55,55,WI,Wisconsin,5.252788515,0.196
79498,79498,400C200US79498,"Santa Rosa, CA","Santa Rosa, CA Urban Area",6.024543644,6,6,CA,California,5.820606312,0.204
28657,28657,400C200US28657,"Fairfield, CA","Fairfield, CA Urban Area",6.337525723,6,6,CA,California,5.820606312,0.517
86302,86302,400C200US86302,"Syracuse, NY","Syracuse, NY Urban Area",5.911534577,36,36,NY,New York,5.018485272,0.893
93484,93484,400C200US93484,"Weatherford, TX","Weatherford, TX Urban Area",7.393341726,48,48,TX,Texas,6.463495491,0.93
79768,79768,400C200US79768,"Savannah, GA","Savannah, GA Urban Area",7.815819549,13,13,GA,Georgia,6.739591666,1.076
14752,14752,400C200US14752,"Cedar Rapids, IA","Cedar Rapids, IA Urban Area",6.639822863,19,19,IA,Iowa,6.071900243,0.568
24850,24850,400C200US24850,"Duluth, MN--WI","Duluth, MN--WI Urban Area",5.200560097,27,27,MN,Minnesota,4.883898514,0.317
27766,27766,400C200US27766,"Erie, PA","Erie, PA Urban Area",6.577275294,42,42,PA,Pennsylvania,5.941080114,0.636
23527,23527,400C200US23527,"Denver--Aurora, CO","Denver--Aurora, CO Urban Area",6.040169122,8,8,CO,Colorado,4.005248733,2.035
83899,83899,400C200US83899,"Springfield, IL","Springfield, IL Urban Area",7.711207129,17,17,IL,Illinois,6.723665264,0.988
54091,54091,400C200US54091,"Mansfield, OH","Mansfield, OH Urban Area",7.169954207,39,39,OH,Ohio,6.486223112,0.684
13375,13375,400C200US13375,"Canton, OH","Canton, OH Urban Area",7.902469007,39,39,OH,Ohio,6.486223112,1.416
83980,83980,400C200US83980,"Springfield, OH","Springfield, OH Urban Area",7.482087066,39,39,OH,Ohio,6.486223112,0.996
48394,48394,400C200US48394,"Lawton, OK","Lawton, OK Urban Area",7.116778431,40,40,OK,Oklahoma,6.383701379,0.733
18856,18856,400C200US18856,"Colorado Springs, CO","Colorado Springs, CO Urban Area",4.601026503,8,8,CO,Colorado,4.005248733,0.596
57736,57736,400C200US57736,"Missoula, MT","Missoula, MT Urban Area",6.533093124,30,30,MT,Montana,4.571901511,1.961
69184,69184,400C200US69184,"Phoenix--Mesa--Scottsdale, AZ","Phoenix--Mesa--Scottsdale, AZ Urban Area",9.386281145,4,4,AZ,Arizona,5.07234524,4.314
64864,64864,400C200US64864,"Odessa, TX","Odessa, TX Urban Area",7.308276922,48,48,TX,Texas,6.463495491,0.845
87058,87058,400C200US87058,"Temple, TX","Temple, TX Urban Area",7.542491169,48,48,TX,Texas,6.463495491,1.079
72559,72559,400C200US72559,"Provo--Orem, UT","Provo--Orem, UT Urban Area",6.511969782,49,49,UT,Utah,4.422666341,2.089
91261,91261,400C200US91261,"Waldorf, MD","Waldorf, MD Urban Area",6.879357957,24,24,MD,Maryland,5.719359852,1.16
970,970,400C200US00970,"Albany--Schenectady, NY","Albany--Schenectady, NY Urban Area",7.52388345,36,36,NY,New York,5.018485272,2.505
69192,69192,400C200US69192,"Phoenix West--Goodyear--Avondale, AZ","Phoenix West--Goodyear--Avondale, AZ Urban Area",9.850147228,4,4,AZ,Arizona,5.07234524,4.778
67140,67140,400C200US67140,"Palmdale--Lancaster, CA","Palmdale--Lancaster, CA Urban Area",7.262227716,6,6,CA,California,5.820606312,1.442
87004,87004,400C200US87004,"Temecula--Murrieta--Menifee, CA","Temecula--Murrieta--Menifee, CA Urban Area",8.31796129,6,6,CA,California,5.820606312,2.497
52695,52695,400C200US52695,"McKinney--Frisco, TX","McKinney--Frisco, TX Urban Area",8.06880052,48,48,TX,Texas,6.463495491,1.605
61948,61948,400C200US61948,"New Braunfels, TX","New Braunfels, TX Urban Area",7.85166872,48,48,TX,Texas,6.463495491,1.388
84859,84859,400C200US84859,"Steubenville--Weirton, OH--WV--PA","Steubenville--Weirton, OH--WV--PA Urban Area",7.722288584,54,54,WV,West Virginia,5.530576165,2.192
2420,2420,400C200US02420,"Anderson--Clemson, SC","Anderson--Clemson, SC Urban Area",7.493731356,45,45,SC,South Carolina,6.590711332,0.903
71060,71060,400C200US71060,"Port Charlotte--North Port, FL","Port Charlotte--North Port, FL Urban Area",7.213697046,12,12,FL,Florida,6.210653346,1.003
90406,90406,400C200US90406,"Vero Beach--Sebastian, FL","Vero Beach--Sebastian, FL Urban Area",6.527961777,12,12,FL,Florida,6.210653346,0.317
9536,9536,400C200US09536,"Bradenton--Sarasota--Venice, FL","Bradenton--Sarasota--Venice, FL Urban Area",7.201308835,12,12,FL,Florida,6.210653346,0.991
29608,29608,400C200US29608,"Fernandina Beach--Yulee, FL","Fernandina Beach--Yulee, FL Urban Area",7.922163347,12,12,FL,Florida,6.210653346,1.712
67305,67305,400C200US67305,"Panama City--Panama City Beach, FL","Panama City--Panama City Beach, FL Urban Area",8.147116219,12,12,FL,Florida,6.210653346,1.936
22612,22612,400C200US22612,"Daytona Beach--Palm Coast--Port Orange, FL","Daytona Beach--Palm Coast--Port Orange, FL Urban Area",7.46608481,12,12,FL,Florida,6.210653346,1.255
7472,7472,400C200US07472,"Beverly Hills--Homosassa Springs--Pine Ridge, FL","Beverly Hills--Homosassa Springs--Pine Ridge, FL Urban Area",7.1625917,12,12,FL,Florida,6.210653346,0.952
51131,51131,400C200US51131,"London--Corbin, KY","London--Corbin, KY Urban Area",6.581143006,21,21,KY,Kentucky,6.378271804,0.203
95411,95411,400C200US95411,"Williamsburg, VA","Williamsburg, VA Urban Area",6.872474304,51,51,VA,Virginia,5.831688009,1.041
47995,47995,400C200US47995,"Las Vegas--Henderson--Paradise, NV","Las Vegas--Henderson--Paradise, NV Urban Area",7.287630344,32,32,NV,Nevada,4.731621561,2.556
75313,75313,400C200US75313,"Riverhead--Southold, NY","Riverhead--Southold, NY Urban Area",5.86950945,36,36,NY,New York,5.018485272,0.851
3904,3904,400C200US03904,"Atlantic City--Ocean City--Villas, NJ","Atlantic City--Ocean City--Villas, NJ Urban Area",6.057837849,34,34,NJ,New Jersey,4.809394989,1.248
6290,6290,400C200US06290,"Bel Air--Aberdeen, MD","Bel Air--Aberdeen, MD Urban Area",7.213333366,24,24,MD,Maryland,5.719359852,1.494
31150,31150,400C200US31150,"Four Corners, FL","Four Corners, FL Urban Area",7.225017314,12,12,FL,Florida,6.210653346,1.014
26750,26750,400C200US26750,"Elizabethtown--Radcliff, KY","Elizabethtown--Radcliff, KY Urban Area",7.240973963,21,21,KY,Kentucky,6.378271804,0.863
51755,51755,400C200US51755,"Louisville/Jefferson County, KY--IN","Louisville/Jefferson County, KY--IN Urban Area",8.186162757,21,21,KY,Kentucky,6.378271804,1.808
2103,2103,400C200US02103,"Amherst Town--Northampton--Easthampton Town, MA","Amherst Town--Northampton--Easthampton Town, MA Urban Area",7.085507747,25,25,MA,Massachusetts,4.704029792,2.381
69517,69517,400C200US69517,"Pinehurst--Southern Pines, NC","Pinehurst--Southern Pines, NC Urban Area",7.311532388,37,37,NC,North Carolina,5.974952781,1.337
49594,49594,400C200US49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","Lexington Park--California--Chesapeake Ranch Estates, MD Urban Area",6.872135118,24,24,MD,Maryland,5.719359852,1.153
61372,61372,400C200US61372,"Navarre--Miramar Beach--Destin, FL","Navarre--Miramar Beach--Destin, FL Urban Area",8.186788781,12,12,FL,Florida,6.210653346,1.976
28766,28766,400C200US28766,"Fairhope--Daphne, AL","Fairhope--Daphne, AL Urban Area",8.231166087,1,1,AL,Alabama,7.071756628,1.159
